Datum,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Warengruppe,Umsatz
2012-06-16,1,6.0,18.4625,10,25.0,,
2012-06-17,1,6.0,16.9625,14,25.0,,
2012-06-18,1,6.0,19.5875,19,95.0,,
2012-06-19,1,6.0,17.3125,6,,,
2012-06-20,1,6.0,17.65,12,,,
2012-06-21,1,4.0,18.5125,16,,,
2012-06-22,1,4.0,18.325,14,29.0,,
2012-06-23,1,6.0,16.8875,12,80.0,,
2012-06-24,1,8.0,12.875,12,63.0,,
2013-06-22,1,6.0,19.7375,10,,,
2013-06-23,1,6.0,17.5375,10,21.0,,
2013-06-24,1,7.0,15.95,12,63.0,,
2013-06-25,1,7.0,15.175,10,21.0,,
2013-06-26,1,7.0,13.825,18,61.0,,
2013-06-27,1,7.0,12.55,10,61.0,,
2013-06-28,1,7.0,13.05,10,61.0,,
2013-06-29,1,6.0,14.8375,16,61.0,,
2013-06-30,1,7.0,14.0125,15,63.0,,
2014-06-21,1,6.0,15.5125,18,61.0,1.0,162.410672754329
2014-06-21,1,6.0,15.5125,18,61.0,2.0,691.302129885254
2014-06-21,1,6.0,15.5125,18,61.0,3.0,266.758833683806
2014-06-21,1,6.0,15.5125,18,61.0,4.0,55.3784359085427
2014-06-21,1,6.0,15.5125,18,61.0,5.0,398.075088856397
2014-06-22,1,5.0,15.7,19,,1.0,99.6276132843513
2014-06-22,1,5.0,15.7,19,,2.0,687.127455430513
2014-06-22,1,5.0,15.7,19,,3.0,256.961787120751
2014-06-22,1,5.0,15.7,19,,4.0,112.87846427577
2014-06-22,1,5.0,15.7,19,,5.0,399.756375802425
2014-06-23,1,4.0,16.5,17,,1.0,130.997404965594
2014-06-23,1,4.0,16.5,17,,2.0,511.714043984716
2014-06-23,1,4.0,16.5,17,,3.0,190.742545388738
2014-06-23,1,4.0,16.5,17,,4.0,89.1125310007438
2014-06-23,1,4.0,16.5,17,,5.0,331.768630064753
2014-06-24,1,7.0,14.3625,7,21.0,1.0,119.068455962972
2014-06-24,1,7.0,14.3625,7,21.0,2.0,508.608322070437
2014-06-24,1,7.0,14.3625,7,21.0,3.0,193.611313869673
2014-06-24,1,7.0,14.3625,7,21.0,4.0,80.6814437485115
2014-06-24,1,7.0,14.3625,7,21.0,5.0,293.582453806941
2014-06-25,1,0.0,18.4375,10,,1.0,114.248639971521
2014-06-25,1,0.0,18.4375,10,,2.0,517.169259136224
2014-06-25,1,0.0,18.4375,10,,3.0,177.06025159912
2014-06-25,1,0.0,18.4375,10,,4.0,74.4274080594379
2014-06-25,1,0.0,18.4375,10,,5.0,359.294724220182
2014-06-26,1,6.0,17.575,8,63.0,1.0,139.644833904018
2014-06-26,1,6.0,17.575,8,63.0,2.0,583.733870024269
2014-06-26,1,6.0,17.575,8,63.0,3.0,231.944214454895
2014-06-26,1,6.0,17.575,8,63.0,4.0,84.8155438313241
2014-06-26,1,6.0,17.575,8,63.0,5.0,379.567358758783
2014-06-27,1,4.0,20.1625,7,95.0,1.0,149.199619823898
2014-06-27,1,4.0,20.1625,7,95.0,2.0,595.204307059367
2014-06-27,1,4.0,20.1625,7,95.0,3.0,232.1659297551
2014-06-27,1,4.0,20.1625,7,95.0,4.0,65.0878866069292
2014-06-27,1,4.0,20.1625,7,95.0,5.0,371.32461993901
2014-06-28,1,6.0,16.9625,6,95.0,1.0,234.368963456298
2014-06-28,1,6.0,16.9625,6,95.0,2.0,861.858616856627
2014-06-28,1,6.0,16.9625,6,95.0,3.0,396.51241111032
2014-06-28,1,6.0,16.9625,6,95.0,4.0,105.33599228222
2014-06-28,1,6.0,16.9625,6,95.0,5.0,498.133552158124
2014-06-29,1,7.0,17.3125,8,61.0,1.0,99.024824945212
2014-06-29,1,7.0,17.3125,8,61.0,2.0,770.70069957598
2014-06-29,1,7.0,17.3125,8,61.0,3.0,288.960776618001
2014-06-29,1,7.0,17.3125,8,61.0,4.0,139.687762195994
2014-06-29,1,7.0,17.3125,8,61.0,5.0,316.483478198112
2015-06-20,1,5.0,17.125,13,,1.0,146.634813820399
2015-06-20,1,5.0,17.125,13,,2.0,571.278131371528
2015-06-20,1,5.0,17.125,13,,3.0,220.298734884554
2015-06-20,1,5.0,17.125,13,,5.0,280.186941692026
2015-06-21,1,6.0,15.75,6,,1.0,77.1354317914719
2015-06-21,1,6.0,15.75,6,,2.0,553.599170821681
2015-06-21,1,6.0,15.75,6,,3.0,206.347777642486
2015-06-21,1,6.0,15.75,6,,4.0,79.6238577111724
2015-06-21,1,6.0,15.75,6,,5.0,235.514638799317
2015-06-22,1,5.0,13.5,8,61.0,1.0,135.938737758693
2015-06-22,1,5.0,13.5,8,61.0,2.0,412.309330067662
2015-06-22,1,5.0,13.5,8,61.0,3.0,183.964615046141
2015-06-22,1,5.0,13.5,8,61.0,4.0,95.7934490225752
2015-06-22,1,5.0,13.5,8,61.0,5.0,254.862522218275
2015-06-23,1,5.0,16.5,10,21.0,1.0,122.481453982781
2015-06-23,1,5.0,16.5,10,21.0,2.0,423.1358501964
2015-06-23,1,5.0,16.5,10,21.0,3.0,172.407057152837
2015-06-23,1,5.0,16.5,10,21.0,4.0,59.3399435978971
2015-06-23,1,5.0,16.5,10,21.0,5.0,270.726957416684
2015-06-24,1,8.0,12.625,14,61.0,1.0,128.059192073461
2015-06-24,1,8.0,12.625,14,61.0,2.0,479.943327331225
2015-06-24,1,8.0,12.625,14,61.0,3.0,179.618053020787
2015-06-24,1,8.0,12.625,14,61.0,4.0,136.751450668224
2015-06-24,1,8.0,12.625,14,61.0,5.0,300.990362700812
2015-06-25,1,6.0,17.125,8,21.0,1.0,178.518522583761
2015-06-25,1,6.0,17.125,8,21.0,2.0,484.513720535521
2015-06-25,1,6.0,17.125,8,21.0,3.0,169.658267286
2015-06-25,1,6.0,17.125,8,21.0,4.0,76.9256449556744
2015-06-25,1,6.0,17.125,8,21.0,5.0,271.335895693763
2015-06-26,1,7.0,19.25,5,61.0,1.0,148.837350354137
2015-06-26,1,7.0,19.25,5,61.0,2.0,517.667163948615
2015-06-26,1,7.0,19.25,5,61.0,3.0,181.11146289077
2015-06-26,1,7.0,19.25,5,61.0,4.0,133.675162322483
2015-06-26,1,7.0,19.25,5,61.0,5.0,304.239937730854
2015-06-27,1,7.0,19.375,16,61.0,1.0,169.797038127635
2015-06-27,1,7.0,19.375,16,61.0,2.0,708.700690129254
2015-06-27,1,7.0,19.375,16,61.0,3.0,274.594255311076
2015-06-27,1,7.0,19.375,16,61.0,4.0,51.4184892058944
2015-06-27,1,7.0,19.375,16,61.0,5.0,428.433111120672
2015-06-28,1,2.0,19.875,10,,1.0,77.928316055467
2015-06-28,1,2.0,19.875,10,,2.0,686.349904220686
2015-06-28,1,2.0,19.875,10,,3.0,248.020004494018
2015-06-28,1,2.0,19.875,10,,4.0,92.6062037819606
2015-06-28,1,2.0,19.875,10,,5.0,309.491842337963
2016-06-18,1,6.0,18.0,12,21.0,1.0,178.053503357419
2016-06-18,1,6.0,18.0,12,21.0,2.0,455.115566690297
2016-06-18,1,6.0,18.0,12,21.0,3.0,210.995958062752
2016-06-18,1,6.0,18.0,12,21.0,4.0,74.0956742931782
2016-06-18,1,6.0,18.0,12,21.0,5.0,297.196176882937
2016-06-19,1,7.0,16.0,14,,1.0,47.3015501376727
2016-06-19,1,7.0,16.0,14,,2.0,515.510722561944
2016-06-19,1,7.0,16.0,14,,3.0,221.472814024848
2016-06-19,1,7.0,16.0,14,,4.0,157.876050195996
2016-06-19,1,7.0,16.0,14,,5.0,258.683021783885
2016-06-20,1,4.0,20.875,10,61.0,1.0,154.234328655126
2016-06-20,1,4.0,20.875,10,61.0,2.0,414.129888774016
2016-06-20,1,4.0,20.875,10,61.0,3.0,160.366420638134
2016-06-20,1,4.0,20.875,10,61.0,4.0,80.4346390087438
2016-06-20,1,4.0,20.875,10,61.0,5.0,261.929083791593
2016-06-21,1,4.0,19.875,9,,1.0,122.723468787436
2016-06-21,1,4.0,19.875,9,,2.0,390.81874030213
2016-06-21,1,4.0,19.875,9,,3.0,147.991076622665
2016-06-21,1,4.0,19.875,9,,4.0,75.1865037322638
2016-06-21,1,4.0,19.875,9,,5.0,250.953444723129
2016-06-22,1,5.0,22.125,9,61.0,1.0,98.8851882321757
2016-06-22,1,5.0,22.125,9,61.0,2.0,437.625292013129
2016-06-22,1,5.0,22.125,9,61.0,3.0,132.946056097799
2016-06-22,1,5.0,22.125,9,61.0,4.0,46.4521045149254
2016-06-22,1,5.0,22.125,9,61.0,5.0,245.204941108968
2016-06-23,1,5.0,27.875,8,,1.0,159.229870584471
2016-06-23,1,5.0,27.875,8,,2.0,444.85642620105
2016-06-23,1,5.0,27.875,8,,3.0,161.58432145411
2016-06-23,1,5.0,27.875,8,,4.0,77.5616208592352
2016-06-23,1,5.0,27.875,8,,5.0,231.264672708937
2016-06-24,1,5.0,24.125,9,,1.0,146.028836187358
2016-06-24,1,5.0,24.125,9,,2.0,504.789708077128
2016-06-24,1,5.0,24.125,9,,3.0,161.274225315318
2016-06-24,1,5.0,24.125,9,,5.0,241.758175059788
2016-06-25,1,7.0,18.25,14,95.0,1.0,160.675602624552
2016-06-25,1,7.0,18.25,14,95.0,2.0,770.940264429072
2016-06-25,1,7.0,18.25,14,95.0,3.0,330.478660501536
2016-06-25,1,7.0,18.25,14,95.0,4.0,80.143148747234
2016-06-25,1,7.0,18.25,14,95.0,5.0,402.98066537422
2016-06-26,1,5.0,19.25,11,0.0,1.0,70.9661977461169
2016-06-26,1,5.0,19.25,11,0.0,2.0,673.058408685448
2016-06-26,1,5.0,19.25,11,0.0,3.0,240.674329382729
2016-06-26,1,5.0,19.25,11,0.0,4.0,103.99952080863
2016-06-26,1,5.0,19.25,11,0.0,5.0,265.456146687391
2017-06-17,1,0.0,20.125,15,0.0,1.0,152.587185601354
2017-06-17,1,0.0,20.125,15,0.0,2.0,578.780125724772
2017-06-17,1,0.0,20.125,15,0.0,3.0,289.376417642361
2017-06-17,1,0.0,20.125,15,0.0,4.0,72.512643357311
2017-06-17,1,0.0,20.125,15,0.0,5.0,352.506179682214
2017-06-18,1,2.0,24.25,9,,1.0,75.1727854873289
2017-06-18,1,2.0,24.25,9,,2.0,586.165188828483
2017-06-18,1,2.0,24.25,9,,3.0,301.35058891641
2017-06-18,1,2.0,24.25,9,,4.0,71.2599878811923
2017-06-18,1,2.0,24.25,9,,5.0,216.356703017971
2017-06-19,1,1.0,25.375,7,0.0,1.0,146.631334543439
2017-06-19,1,1.0,25.375,7,0.0,2.0,382.488175663817
2017-06-19,1,1.0,25.375,7,0.0,3.0,211.583246910582
2017-06-19,1,1.0,25.375,7,0.0,4.0,66.5031569430632
2017-06-19,1,1.0,25.375,7,0.0,5.0,266.040845002576
2017-06-20,1,0.0,20.75,12,0.0,1.0,127.815304326711
2017-06-20,1,0.0,20.75,12,0.0,2.0,434.849517951858
2017-06-20,1,0.0,20.75,12,0.0,3.0,181.240683684111
2017-06-20,1,0.0,20.75,12,0.0,4.0,59.7710397044917
2017-06-20,1,0.0,20.75,12,0.0,5.0,239.596188002166
2017-06-21,1,3.0,18.75,10,,1.0,120.022105971466
2017-06-21,1,3.0,18.75,10,,2.0,430.906719081176
2017-06-21,1,3.0,18.75,10,,3.0,181.547354525725
2017-06-21,1,3.0,18.75,10,,4.0,74.2881182284261
2017-06-21,1,3.0,18.75,10,,5.0,232.925986116455
2017-06-22,1,3.0,20.25,10,95.0,1.0,78.1688619382617
2017-06-22,1,3.0,20.25,10,95.0,2.0,418.672448020086
2017-06-22,1,3.0,20.25,10,95.0,3.0,143.490671929285
2017-06-22,1,3.0,20.25,10,95.0,4.0,93.3756723023931
2017-06-22,1,3.0,20.25,10,95.0,5.0,231.444516999084
2017-06-23,1,7.0,17.25,14,61.0,1.0,160.591006007475
2017-06-23,1,7.0,17.25,14,61.0,2.0,439.210505371538
2017-06-23,1,7.0,17.25,14,61.0,3.0,172.344413428855
2017-06-23,1,7.0,17.25,14,61.0,4.0,79.9477044026905
2017-06-23,1,7.0,17.25,14,61.0,5.0,335.567446461642
2017-06-24,1,6.0,17.875,19,61.0,1.0,213.304834757744
2017-06-24,1,6.0,17.875,19,61.0,2.0,631.28176537999
2017-06-24,1,6.0,17.875,19,61.0,3.0,367.632769652741
2017-06-24,1,6.0,17.875,19,61.0,4.0,62.1562035019027
2017-06-24,1,6.0,17.875,19,61.0,5.0,448.004437068748
2017-06-25,1,7.0,17.25,16,20.0,1.0,69.3531645812572
2017-06-25,1,7.0,17.25,16,20.0,2.0,577.997897373246
2017-06-25,1,7.0,17.25,16,20.0,3.0,257.372454543866
2017-06-25,1,7.0,17.25,16,20.0,4.0,94.280904248875
2017-06-25,1,7.0,17.25,16,20.0,5.0,305.520160355371
2018-06-16,1,5.0,21.325,7,95.0,1.0,165.240825926878
2018-06-16,1,5.0,21.325,7,95.0,2.0,536.452348266225
2018-06-16,1,5.0,21.325,7,95.0,3.0,249.755999609154
2018-06-16,1,5.0,21.325,7,95.0,4.0,79.9425697031279
2018-06-16,1,5.0,21.325,7,95.0,5.0,209.362082944004
2018-06-17,1,5.0,18.275,12,61.0,1.0,131.774736746731
2018-06-17,1,5.0,18.275,12,61.0,2.0,561.16613003467
2018-06-17,1,5.0,18.275,12,61.0,3.0,301.987694387114
2018-06-17,1,5.0,18.275,12,61.0,4.0,105.970913596347
2018-06-17,1,5.0,18.275,12,61.0,5.0,351.208968634828
2018-06-18,1,7.0,17.6375,9,61.0,1.0,150.60898110442
2018-06-18,1,7.0,17.6375,9,61.0,2.0,453.773846005242
2018-06-18,1,7.0,17.6375,9,61.0,3.0,183.905575463908
2018-06-18,1,7.0,17.6375,9,61.0,4.0,52.4623142900464
2018-06-18,1,7.0,17.6375,9,61.0,5.0,368.908774188599
2018-06-19,1,3.0,19.2375,16,21.0,1.0,134.103229549554
2018-06-19,1,3.0,19.2375,16,21.0,2.0,439.387692233904
2018-06-19,1,3.0,19.2375,16,21.0,3.0,167.94911352995
2018-06-19,1,3.0,19.2375,16,21.0,4.0,47.8861290193053
2018-06-19,1,3.0,19.2375,16,21.0,5.0,271.817641139495
2018-06-20,1,3.0,23.65,13,0.0,1.0,187.760363692391
2018-06-20,1,3.0,23.65,13,0.0,2.0,438.20673354481
2018-06-20,1,3.0,23.65,13,0.0,3.0,178.485146197655
2018-06-20,1,3.0,23.65,13,0.0,4.0,68.6435116412585
2018-06-20,1,3.0,23.65,13,0.0,5.0,329.991266466933
2018-06-21,1,7.0,11.5625,15,65.0,1.0,137.380800589863
2018-06-21,1,7.0,11.5625,15,65.0,2.0,425.408065202863
2018-06-21,1,7.0,11.5625,15,65.0,3.0,165.510528887169
2018-06-21,1,7.0,11.5625,15,65.0,4.0,50.3503164926632
2018-06-21,1,7.0,11.5625,15,65.0,5.0,301.074413373322
2018-06-22,1,5.0,15.575,20,61.0,1.0,173.94005241559
2018-06-22,1,5.0,15.575,20,61.0,2.0,443.18009337283
2018-06-22,1,5.0,15.575,20,61.0,3.0,205.270413262478
2018-06-22,1,5.0,15.575,20,61.0,4.0,62.6581464475431
2018-06-22,1,5.0,15.575,20,61.0,5.0,349.50958339019
2018-06-23,1,7.0,14.3,18,61.0,1.0,228.688308197952
2018-06-23,1,7.0,14.3,18,61.0,2.0,706.424379766017
2018-06-23,1,7.0,14.3,18,61.0,3.0,339.700511154661
2018-06-23,1,7.0,14.3,18,61.0,4.0,49.884049264678
2018-06-23,1,7.0,14.3,18,61.0,5.0,662.369320660577
2018-06-24,1,6.0,16.2375,10,21.0,1.0,96.8397776549712
2018-06-24,1,6.0,16.2375,10,21.0,2.0,579.887614059894
2018-06-24,1,6.0,16.2375,10,21.0,3.0,312.533160106558
2018-06-24,1,6.0,16.2375,10,21.0,4.0,68.6194271147451
2018-06-24,1,6.0,16.2375,10,21.0,5.0,275.941582346904
2019-06-22,1,6.0,17.025,9,5.0,,
2019-06-23,1,1.0,20.375,12,5.0,,
2019-06-24,1,6.0,21.875,13,,,
2019-06-25,1,3.0,28.775,7,,,
2019-06-26,1,0.0,26.0375,16,5.0,,
2019-06-27,1,6.0,17.175,14,,,
2019-06-28,1,1.0,20.225,7,,,
2019-06-29,1,0.0,24.0375,8,0.0,,
2019-06-30,1,0.0,27.3375,19,5.0,,
